[2024-02-24T19:16:38,646][INFO ][TestNG-test=Regression Tests-1] ===================== Execution started: HomePageTest =====================
[2024-02-24T19:16:55,851][INFO ][TestNG-test=Regression Tests-1] TestNG-test=Regression Tests-1 : helperMethods.PageMethods: validatePageTitle ==>  The Page title is visible and correct:XYZ Bank
[2024-02-24T19:16:56,711][INFO ][TestNG-test=Regression Tests-1] TestNG-test=Regression Tests-1 : pages.homePage.HomePage: validateVisibilityOfHomePageElements ==>  The header is visible on the Home Page.
[2024-02-24T19:16:57,152][INFO ][TestNG-test=Regression Tests-1] TestNG-test=Regression Tests-1 : pages.homePage.HomePage: validateVisibilityOfHomePageElements ==>  The header Home button is visible on the Home Page.
[2024-02-24T19:16:57,441][INFO ][TestNG-test=Regression Tests-1] TestNG-test=Regression Tests-1 : pages.homePage.HomePage: validateVisibilityOfHomePageElements ==>  The Customer Login button is visible on the Home Page.
[2024-02-24T19:16:58,277][INFO ][TestNG-test=Regression Tests-1] TestNG-test=Regression Tests-1 : pages.homePage.HomePage: validateVisibilityOfHomePageElements ==>  The Bank Manager Login button is visible on the Home Page.
[2024-02-24T19:16:59,156][INFO ][TestNG-test=Regression Tests-1] TestNG-test=Regression Tests-1 : pages.homePage.HomePage: clickHomeButton ==>  The user clicks the Home button from the header to navigate to the Home Page.
[2024-02-24T19:16:59,167][INFO ][TestNG-test=Regression Tests-1] TestNG-test=Regression Tests-1 : pages.homePage.HomePage: checkHomeButtonFunctionality ==>  The page URL doesn't change, the user is still on the Home Page.
[2024-02-24T19:16:59,875][INFO ][TestNG-test=Regression Tests-1] TestNG-test=Regression Tests-1 : pages.homePage.HomePage: clickCustomerLoginButton ==>  The user clicks the Customer Login button from the Home Page.
[2024-02-24T19:17:02,630][INFO ][TestNG-test=Regression Tests-1] TestNG-test=Regression Tests-1 : pages.homePage.HomePage: checkCustomerLoginButtonFunctionality ==>  The user successfully navigates to the Customer Login page; the Your Name field is visible.
[2024-02-24T19:17:02,644][INFO ][TestNG-test=Regression Tests-1] TestNG-test=Regression Tests-1 : pages.homePage.HomePage: checkCustomerLoginButtonFunctionality ==>  The Customer Login page URL is correct: https://www.globalsqa.com/angularJs-protractor/BankingProject/#/customer
[2024-02-24T19:17:03,606][INFO ][TestNG-test=Regression Tests-1] TestNG-test=Regression Tests-1 : pages.homePage.HomePage: clickHomeButton ==>  The user clicks the Home button from the header to navigate to the Home Page.
[2024-02-24T19:17:03,776][INFO ][TestNG-test=Regression Tests-1] TestNG-test=Regression Tests-1 : pages.homePage.HomePage: clickBankManagerLogin ==>  The user clicks the Bank Manager Login button from the Home Page.
[2024-02-24T19:17:04,470][INFO ][TestNG-test=Regression Tests-1] TestNG-test=Regression Tests-1 : pages.homePage.HomePage: checkBankManagerButtonFunctionality ==>  The user successfully navigates to the Bank Manager Login page; the Add Customer button is visible.
[2024-02-24T19:17:04,478][INFO ][TestNG-test=Regression Tests-1] TestNG-test=Regression Tests-1 : pages.homePage.HomePage: checkBankManagerButtonFunctionality ==>  The Bank Manager Login page URL is correct: https://www.globalsqa.com/angularJs-protractor/BankingProject/#/manager
[2024-02-24T19:17:04,804][INFO ][TestNG-test=Regression Tests-1] TestNG-test=Regression Tests-1 : pages.homePage.HomePage: clickHomeButton ==>  The user clicks the Home button from the header to navigate to the Home Page.
[2024-02-24T19:17:04,946][INFO ][TestNG-test=Regression Tests-1] ===================== Execution ended: HomePageTest =====================
