[2024-02-24T19:16:38,649][INFO ][TestNG-test=Regression Tests-4] ===================== Execution started: OpenAccountTest =====================
[2024-02-24T19:16:57,646][INFO ][TestNG-test=Regression Tests-4] TestNG-test=Regression Tests-4 : pages.homePage.HomePage: clickBankManagerLogin ==>  The user clicks the Bank Manager Login button from the Home Page.
[2024-02-24T19:16:58,509][INFO ][TestNG-test=Regression Tests-4] TestNG-test=Regression Tests-4 : pages.bankManagerLogin.BankManagerPage: clickCustomers ==>  The user clicks on the Customers button from the Bank Manager page.
[2024-02-24T19:17:02,038][INFO ][TestNG-test=Regression Tests-4] TestNG-test=Regression Tests-4 : pages.bankManagerLogin.BankManagerPage: clickCustomers ==>  The Search Customer bar and the Customers Table are both visible.
[2024-02-24T19:17:02,698][INFO ][TestNG-test=Regression Tests-4] TestNG-test=Regression Tests-4 : pages.bankManagerLogin.BankManagerPage: clickCustomers ==>  The user clicks on the Customers button from the Bank Manager page.
[2024-02-24T19:17:02,975][INFO ][TestNG-test=Regression Tests-4] TestNG-test=Regression Tests-4 : pages.bankManagerLogin.BankManagerPage: clickCustomers ==>  The Search Customer bar and the Customers Table are both visible.
[2024-02-24T19:17:07,941][INFO ][TestNG-test=Regression Tests-4] TestNG-test=Regression Tests-4 : pages.bankManagerLogin.BankManagerPage: clickOpenAccount ==>  The user clicks on the Open Account button from the Bank Manager page.
[2024-02-24T19:17:09,254][INFO ][TestNG-test=Regression Tests-4] TestNG-test=Regression Tests-4 : pages.bankManagerLogin.BankManagerPage: clickOpenAccount ==>  The Open Account form appears.
[2024-02-24T19:17:10,273][INFO ][TestNG-test=Regression Tests-4] TestNG-test=Regression Tests-4 : pages.bankManagerLogin.BankManagerPage: selectCustomerName ==>  The user fills in the Customer field with the name and surname of an existing customer: Hermoine Granger
[2024-02-24T19:17:11,360][INFO ][TestNG-test=Regression Tests-4] TestNG-test=Regression Tests-4 : pages.bankManagerLogin.BankManagerPage: selectCurrency ==>  The user selects the first Currency type in the Currency selector.
[2024-02-24T19:17:12,104][INFO ][TestNG-test=Regression Tests-4] TestNG-test=Regression Tests-4 : pages.bankManagerLogin.BankManagerPage: openAccount ==>  The user clicks the Process button at the bottom of the Open Account form.
[2024-02-24T19:17:12,136][INFO ][TestNG-test=Regression Tests-4] TestNG-test=Regression Tests-4 : pages.bankManagerLogin.BankManagerPage: openAccount ==>  An alert confirmation message is displayed: Account created successfully with account Number :1016
[2024-02-24T19:17:12,882][INFO ][TestNG-test=Regression Tests-4] TestNG-test=Regression Tests-4 : pages.bankManagerLogin.BankManagerPage: clickCustomers ==>  The user clicks on the Customers button from the Bank Manager page.
[2024-02-24T19:17:13,037][INFO ][TestNG-test=Regression Tests-4] TestNG-test=Regression Tests-4 : pages.bankManagerLogin.BankManagerPage: clickCustomers ==>  The Search Customer bar and the Customers Table are both visible.
[2024-02-24T19:17:13,470][INFO ][TestNG-test=Regression Tests-4] TestNG-test=Regression Tests-4 : pages.bankManagerLogin.BankManagerPage: openAccount ==>  The Account Number from the confirmation text- 1016 -is successfully displayed in the Account Number cell on the Customers Table for the respective customer.
[2024-02-24T19:17:13,596][INFO ][TestNG-test=Regression Tests-4] ===================== Execution ended: OpenAccountTest =====================
